Ti,Ni,Cu,Hf,Co,Zr,Pd,Ta,Nb,Al,热加工温度/℃,热加工率/%,一级处理温度/℃,一级处理时间/min,冷却方式,冷加工温度/℃,冷加工率/%,二级处理温度/℃,二级处理时间/min,冷却方式,应力 /Mpa,Ms/℃,Mp,Mf,As,Ap,Af,hysteresis,method,总应变,应变回复率,workout J/cm3,ref,label,备注,,,,
30.2,49.8,,20,,,,,,,900,80,,,,,,,,,400,305.611,,,,,,78.8006,0,2.93433,100,11.73732,73-2018,TiNiHf,,,,,
30.2,49.8,,20,,,,,,,900,80,,,,,,,,,500,312.335,,,,,,76.3551,0,3.09513,100,15.47565,73-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,500,-25.2004,,,,,,18.2857,1,0.141862,100,0.70931,48-2017,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,700,-19.557,,,,,,28.5714,1,0.510639,100,3.574473,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,1000,6.54443,,,,,,23.1429,1,0.993129,100,9.93129,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,1200,27.7566,,,,,,18,1,1.07376,100,12.88512,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,1500,61.2075,,,,,,21.7143,1,1.26279,100,18.94185,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,450,180,WQ,1700,76.7,,,,,,21.7143,1,1.32985,100,22.60745,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,100,56.6335,,,,,,40.5714,1,0.284824,100,0.284824,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,300,84.637,,,,,,38,1,0.702452,100,2.107356,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,400,99.5458,,,,,,36.2857,1,1.09296,100,4.37184,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,700,119.369,,,,,,35.4286,1,1.28507,100,8.99549,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,1000,137.634,,,,,,36.2857,1,1.54194,100,15.4194,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,1200,159.102,,,,,,36.5714,1,1.67157,100,20.05884,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,550,180,WQ,1500,173.282,,,,,,44,1,1.76555,100,26.48325,48-2018,TiNiHf,,,,,
28.8,51.2,,20,,,,,,,,,900,180,WQ,,,650,180,WQ,100,124.218,,,,,,33.4286,1,0.227736,100,0.227736,48-2018,TiNiHf,,,,,
